employee_id,department,position,salary,years_experience,performance_score,hiring_date,attrition_risk,status
EMP0001,IT,Junior,89641.32,4.5,82.6,2015-01-01 00:00:00.000000000,0.798,High Risk
EMP0002,Finance,Director,122404.02,0.9,87.6,2015-01-08 07:38:50.260521042,0.822,High Risk
EMP0003,Operations,Mid,71404.47,2.5,94.9,2015-01-15 15:17:40.521042084,0.858,High Risk
EMP0004,Finance,Mid,78411.88,17.4,85.5,2015-01-22 22:56:30.781563126,0.917,High Risk
EMP0005,Finance,Director,57164.52,1.5,90.4,2015-01-30 06:35:21.042084168,0.431,Stable
EMP0006,Marketing,Manager,92649.86,5.3,66.4,2015-02-06 14:14:11.302605210,0.319,Stable
EMP0007,Operations,Mid,65445.64,2.0,78.5,2015-02-13 21:53:01.563126253,0.582,Stable
EMP0008,Operations,Manager,65428.29,7.4,60.4,2015-02-21 05:31:51.823647295,0.371,Stable
EMP0009,Operations,Mid,91304.49,0.7,69.9,2015-02-28 13:10:42.084168337,0.601,Stable
EMP0010,Finance,Mid,106047.63,17.5,89.1,2015-03-07 20:49:32.344689379,0.706,High Risk
EMP0011,IT,Senior,40000.0,3.0,99.7,2015-03-15 04:28:22.605210421,0.688,Stable
EMP0012,Operations,Mid,85823.35,1.3,64.0,2015-03-22 12:07:12.865731463,0.375,Stable
EMP0013,HR,Junior,66893.9,0.4,76.1,2015-03-29 19:46:03.126252506,0.167,Stable
EMP0014,Finance,Director,103428.51,0.9,92.0,2015-04-06 03:24:53.386773548,0.431,Stable
EMP0015,Marketing,Director,67496.32,3.7,68.2,2015-04-13 11:03:43.647294590,0.143,Stable
EMP0016,IT,Manager,114031.57,2.1,82.2,2015-04-20 18:42:33.907815632,0.89,High Risk
EMP0017,HR,Mid,54707.61,8.8,89.3,2015-04-28 02:21:24.168336674,0.346,Stable
EMP0018,HR,Junior,40000.0,2.8,84.6,2015-05-05 10:00:14.428857716,0.154,Stable
EMP0019,Marketing,Manager,106547.79,1.4,67.5,2015-05-12 17:39:04.689378758,0.025,Stable
